index,x,y,z
212,1.847,3.875,0.90339
213,1.836,3.889,0.902733
214,1.823,3.905,0.903062
215,1.81,3.92,0.903062
216,1.798,3.935,0.903062
217,1.785,3.951,0.90339
218,1.773,3.966,0.903062
219,1.76,3.982,0.90339
220,1.747,3.997,0.90339
221,1.735,4.012,0.903062
222,1.722,4.028,0.903062
223,1.709,4.043,0.903062
224,1.697,4.058,0.903062
225,1.684,4.074,0.902733
226,1.671,4.089,0.90339
227,1.659,4.105,0.903062
228,1.646,4.12,0.903062
229,1.633,4.135,0.903062
230,1.621,4.151,0.903062
231,1.608,4.166,0.90339
232,1.596,4.181,0.903062
233,1.583,4.197,0.903062
234,1.57,4.212,0.903062
235,1.557,4.228,0.90339
236,1.546,4.241,0.905024
237,1.537,4.251,0.908251
238,1.53,4.259,0.912367
239,1.525,4.266,0.916699
240,1.521,4.269,0.920029
241,1.52,4.271,0.923
242,1.519,4.271,0.926205
243,1.519,4.271,0.928779
244,1.519,4.271,0.932695
245,1.519,4.271,0.935967
246,1.519,4.271,0.939422
247,1.519,4.271,0.942529
248,1.519,4.271,0.945805
249,1.519,4.271,0.948988
250,1.519,4.271,0.951842
251,1.519,4.271,0.954844
252,1.519,4.271,0.957531
253,1.519,4.271,0.960138
254,1.519,4.271,0.96287
255,1.519,4.271,0.965308
256,1.519,4.271,0.967857
257,1.519,4.271,0.970125
258,1.519,4.271,0.97249
259,1.519,4.271,0.974587
260,1.519,4.271,0.976602
261,1.519,4.271,0.978693
262,1.519,4.271,0.980536
263,1.519,4.271,0.98244
264,1.519,4.271,0.984112
265,1.519,4.271,0.985829
266,1.519,4.271,0.987327
267,1.517,4.272,0.988045
268,1.512,4.273,0.98828
269,1.504,4.276,0.988396
270,1.492,4.279,0.988396
271,1.478,4.284,0.988396
272,1.461,4.289,0.98828
273,1.442,4.295,0.98828
274,1.422,4.301,0.98828
275,1.404,4.306,0.988396
276,1.384,4.312,0.988396
277,1.366,4.318,0.98828
278,1.346,4.324,0.988512
279,1.327,4.33,0.988512
280,1.308,4.336,0.988396
281,1.289,4.341,0.988396
282,1.27,4.347,0.988396
283,1.251,4.353,0.98828
284,1.232,4.359,0.988396
285,1.213,4.365,0.988396
286,1.194,4.37,0.988512
287,1.178,4.375,0.98897
288,1.164,4.379,0.989967
289,1.153,4.382,0.991523
290,1.146,4.384,0.992581
291,1.141,4.385,0.993741
292,1.138,4.386,0.994646
293,1.138,4.386,0.99526
294,1.138,4.386,0.996178
295,1.138,4.386,0.996877
296,1.138,4.386,0.997613
297,1.138,4.386,0.998205
298,1.138,4.386,0.998751
299,1.138,4.386,0.999168
300,1.138,4.386,0.999524
301,1.138,4.386,0.999748
302,1.138,4.386,0.999931
303,1.138,4.386,1
304,1.138,4.386,0.99996
305,1.136,4.386,0.999909
306,1.131,4.385,0.999875
307,1.122,4.385,0.999875
308,1.11,4.385,0.999875
309,1.095,4.384,0.999875
310,1.077,4.383,0.999863
311,1.057,4.383,0.999875
312,1.037,4.382,0.999863
313,1.017,4.381,0.999863
314,0.997,4.38,0.999863
315,0.978,4.38,0.999863
316,0.957,4.379,0.999863
317,0.938,4.378,0.999875
318,0.918,4.377,0.999863
319,0.898,4.376,0.999887
320,0.878,4.376,0.999875
321,0.858,4.375,0.999875
322,0.838,4.374,0.999863
323,0.818,4.373,0.999875
324,0.798,4.373,0.999863
325,0.779,4.372,0.999875
326,0.759,4.371,0.999863
327,0.739,4.37,0.999875
328,0.719,4.37,0.999875
329,0.699,4.369,0.999863
330,0.679,4.368,0.999875
331,0.659,4.367,0.999875
332,0.639,4.367,0.999875
333,0.619,4.366,0.999863
334,0.6,4.365,0.999863
335,0.58,4.364,0.999887
336,0.56,4.363,0.999863
337,0.54,4.363,0.999887
338,0.52,4.362,0.999863
339,0.5,4.361,0.999875
340,0.48,4.36,0.999875
341,0.46,4.36,0.999875
342,0.44,4.359,0.999863
343,0.42,4.358,0.999875
344,0.401,4.357,0.999863
345,0.381,4.357,0.999875
346,0.361,4.356,0.999875
347,0.341,4.355,0.999863
348,0.321,4.354,0.999887
349,0.301,4.354,0.999863
350,0.284,4.353,0.999792
351,0.27,4.352,0.999668
352,0.258,4.351,0.999278
353,0.251,4.351,0.998923
354,0.245,4.35,0.998412
355,0.243,4.35,0.997853
356,0.238,4.349,0.997803
357,0.231,4.348,0.997595
358,0.22,4.347,0.997752
359,0.206,4.345,0.997595
360,0.19,4.342,0.9977
361,0.17,4.339,0.997648
362,0.15,4.337,0.997648
363,0.131,4.334,0.997648
364,0.111,4.331,0.9977
365,0.091,4.328,0.997752
366,0.071,4.325,0.997648
367,0.052,4.322,0.9977
368,0.032,4.319,0.997648
369,0.012,4.317,0.997648
370,-0.008,4.314,0.997648
371,-0.027,4.311,0.997648
372,-0.047,4.308,0.9977
373,-0.067,4.305,0.9977
374,-0.086,4.302,0.997648
375,-0.106,4.3,0.997648
376,-0.126,4.297,0.9977
377,-0.146,4.294,0.9977
378,-0.165,4.291,0.997648
379,-0.185,4.288,0.9977
380,-0.205,4.285,0.997648
381,-0.222,4.283,0.997952
382,-0.236,4.281,0.998412
383,-0.247,4.28,0.998887
384,-0.255,4.279,0.999307
385,-0.26,4.279,0.999585
386,-0.262,4.279,0.999807
387,-0.262,4.279,0.999822
388,-0.262,4.279,0.999822
389,-0.262,4.279,0.999822
390,-0.264,4.279,0.999822
391,-0.269,4.279,0.999863
392,-0.279,4.278,0.99985
393,-0.29,4.278,0.999875
394,-0.304,4.277,0.999863
395,-0.322,4.276,0.999863
396,-0.342,4.276,0.99985
397,-0.362,4.275,0.999863
398,-0.382,4.274,0.999863
399,-0.402,4.273,0.999863
400,-0.422,4.273,0.999863
401,-0.442,4.272,0.999863
402,-0.462,4.271,0.999863
403,-0.482,4.27,0.999875
404,-0.502,4.269,0.999863
405,-0.521,4.269,0.999863
406,-0.538,4.268,0.999792
407,-0.553,4.267,0.999628
408,-0.568,4.266,0.999492
409,-0.588,4.265,0.999585
410,-0.609,4.263,0.999562
411,-0.628,4.262,0.999585
412,-0.647,4.261,0.99954
413,-0.668,4.259,0.999562
414,-0.688,4.258,0.999585
415,-0.707,4.257,0.999562
416,-0.728,4.256,0.999562
417,-0.748,4.254,0.99954
418,-0.767,4.253,0.999562
419,-0.787,4.252,0.999585
420,-0.808,4.25,0.99954
421,-0.827,4.249,0.99954
422,-0.847,4.248,0.999562
423,-0.867,4.246,0.99954
424,-0.887,4.245,0.999562
425,-0.907,4.244,0.999562
426,-0.927,4.242,0.99954
427,-0.946,4.241,0.999562
428,-0.966,4.24,0.999516
429,-0.986,4.238,0.999585
430,-1.006,4.237,0.999562
431,-1.026,4.236,0.999562
432,-1.046,4.235,0.999562
433,-1.066,4.233,0.999562
434,-1.086,4.232,0.999562
435,-1.105,4.231,0.999585
436,-1.126,4.229,0.99954
437,-1.146,4.228,0.999562
438,-1.165,4.227,0.999562
439,-1.185,4.225,0.99954
440,-1.205,4.224,0.99954
441,-1.225,4.223,0.99954
442,-1.242,4.221,0.999416
443,-1.256,4.22,0.999188
444,-1.268,4.219,0.99866
445,-1.276,4.218,0.998143
446,-1.281,4.218,0.997752
447,-1.288,4.217,0.99721
448,-1.3,4.215,0.997488
449,-1.314,4.213,0.997379
450,-1.33,4.21,0.997434
451,-1.351,4.207,0.997379
452,-1.37,4.204,0.997379
453,-1.389,4.201,0.997434
454,-1.409,4.198,0.997434
455,-1.429,4.195,0.997323
456,-1.449,4.192,0.997379
457,-1.469,4.189,0.997379
458,-1.488,4.186,0.997488
459,-1.508,4.183,0.997323
460,-1.528,4.18,0.997434
461,-1.548,4.177,0.997323
462,-1.567,4.174,0.997434
463,-1.587,4.171,0.997379
464,-1.607,4.168,0.997434
465,-1.626,4.165,0.997379
466,-1.646,4.162,0.997434
467,-1.666,4.159,0.997379
468,-1.686,4.156,0.997434
469,-1.705,4.153,0.997379
470,-1.725,4.15,0.997434
471,-1.745,4.147,0.997323
472,-1.765,4.144,0.997323
473,-1.784,4.141,0.997434
474,-1.804,4.138,0.997379
475,-1.824,4.135,0.997379
476,-1.843,4.132,0.997434
477,-1.863,4.129,0.997379
478,-1.883,4.126,0.997434
479,-1.903,4.123,0.997434
480,-1.922,4.12,0.997434
481,-1.942,4.117,0.997434
482,-1.962,4.114,0.997434
483,-1.982,4.111,0.997379
484,-2.001,4.108,0.997434
485,-2.021,4.105,0.997434
486,-2.041,4.102,0.997434
487,-2.061,4.099,0.997379
488,-2.08,4.096,0.997379
489,-2.1,4.093,0.997434
490,-2.12,4.09,0.997379
491,-2.14,4.087,0.997434
492,-2.159,4.084,0.997323
493,-2.179,4.081,0.997434
494,-2.199,4.078,0.997379
495,-2.218,4.075,0.997379
496,-2.238,4.072,0.997488
497,-2.258,4.069,0.997379
498,-2.277,4.066,0.997434
499,-2.297,4.063,0.997323
500,-2.317,4.06,0.997379
501,-2.337,4.057,0.997379
502,-2.356,4.054,0.997379
503,-2.376,4.051,0.997323
504,-2.396,4.048,0.997379
505,-2.415,4.045,0.997379
506,-2.435,4.042,0.997379
507,-2.455,4.039,0.997434
508,-2.475,4.036,0.997379
509,-2.494,4.033,0.997379
510,-2.514,4.03,0.997379
511,-2.534,4.027,0.997379
512,-2.553,4.024,0.997434
513,-2.573,4.021,0.997379
514,-2.593,4.018,0.997434
515,-2.613,4.015,0.997379
516,-2.632,4.012,0.997434
517,-2.652,4.009,0.997379
518,-2.672,4.006,0.997379
519,-2.692,4.003,0.997323
520,-2.712,4,0.997379
521,-2.731,3.997,0.997488
522,-2.751,3.994,0.997323
523,-2.771,3.991,0.997434
524,-2.79,3.988,0.997379
525,-2.81,3.985,0.997379
526,-2.83,3.982,0.997434
527,-2.85,3.979,0.997379
528,-2.869,3.976,0.997434
529,-2.889,3.973,0.997434
530,-2.909,3.97,0.997434
531,-2.928,3.967,0.997379
532,-2.948,3.964,0.997434
533,-2.968,3.961,0.997379
534,-2.988,3.958,0.997379
535,-3.007,3.955,0.997379
536,-3.027,3.952,0.997379
537,-3.044,3.949,0.997094
538,-3.058,3.947,0.996546
539,-3.069,3.945,0.9956
540,-3.077,3.943,0.994698
541,-3.083,3.942,0.993712
542,-3.089,3.941,0.993276
543,-3.101,3.938,0.993539
544,-3.115,3.934,0.993364
545,-3.131,3.931,0.993364
546,-3.151,3.926,0.993452
547,-3.17,3.921,0.993452
548,-3.189,3.917,0.993452
549,-3.209,3.912,0.993539
550,-3.228,3.907,0.993364
551,-3.247,3.903,0.993452
552,-3.267,3.898,0.993364
553,-3.286,3.893,0.993452
554,-3.305,3.888,0.993364
555,-3.325,3.884,0.993364
556,-3.344,3.879,0.993452
557,-3.364,3.874,0.993452
558,-3.383,3.87,0.993452
559,-3.402,3.865,0.993364
560,-3.422,3.86,0.993452
561,-3.441,3.856,0.993364
562,-3.461,3.851,0.993452
563,-3.48,3.846,0.993539
564,-3.499,3.842,0.993364
565,-3.519,3.837,0.993539
566,-3.538,3.832,0.993364
567,-3.557,3.828,0.993539
568,-3.577,3.823,0.993452
569,-3.596,3.818,0.993452
570,-3.616,3.814,0.993276
571,-3.635,3.809,0.993452
572,-3.654,3.804,0.993452
573,-3.674,3.8,0.993364
574,-3.693,3.795,0.993452
575,-3.712,3.79,0.993364
576,-3.732,3.786,0.993452
577,-3.751,3.781,0.993364
578,-3.771,3.776,0.993452
579,-3.79,3.772,0.993539
580,-3.809,3.767,0.993364
581,-3.829,3.762,0.993539
582,-3.848,3.758,0.993364
583,-3.867,3.753,0.993539
584,-3.887,3.748,0.993364
585,-3.906,3.744,0.993364
586,-3.926,3.739,0.993364
587,-3.945,3.734,0.993364
588,-3.964,3.73,0.993539
589,-3.984,3.725,0.993452
590,-4.003,3.72,0.993452
591,-4.023,3.716,0.993364
592,-4.042,3.711,0.993452
593,-4.061,3.706,0.993364
594,-4.081,3.702,0.993452
595,-4.1,3.697,0.993452
596,-4.119,3.692,0.993364
597,-4.139,3.688,0.993452
598,-4.158,3.683,0.993364
599,-4.177,3.678,0.993452
600,-4.197,3.674,0.993364
601,-4.216,3.669,0.993452
602,-4.236,3.664,0.993364
603,-4.255,3.659,0.993364
604,-4.274,3.655,0.993452
605,-4.294,3.65,0.993452
606,-4.313,3.646,0.993452
607,-4.333,3.641,0.993364
608,-4.352,3.636,0.993452
609,-4.372,3.631,0.993364
610,-4.391,3.627,0.993539
611,-4.41,3.622,0.993539
612,-4.43,3.618,0.993364
613,-4.449,3.613,0.993452
614,-4.468,3.608,0.993364
615,-4.488,3.604,0.993452
616,-4.507,3.599,0.993364
617,-4.526,3.594,0.993364
618,-4.546,3.589,0.993364
619,-4.565,3.585,0.993452
620,-4.585,3.58,0.993452
621,-4.604,3.575,0.993452
622,-4.623,3.571,0.993452
623,-4.643,3.566,0.993364
624,-4.662,3.561,0.993452
625,-4.682,3.557,0.993364
626,-4.701,3.552,0.993539
627,-4.72,3.547,0.993452
628,-4.739,3.543,0.993452
629,-4.759,3.538,0.993452
630,-4.778,3.533,0.993452
631,-4.798,3.529,0.993452
632,-4.817,3.524,0.993452
633,-4.836,3.519,0.993364
634,-4.856,3.515,0.993452
635,-4.875,3.51,0.993452
636,-4.895,3.505,0.993452
637,-4.914,3.501,0.993452
638,-4.933,3.496,0.993364
639,-4.953,3.491,0.993452
640,-4.972,3.487,0.993452
641,-4.992,3.482,0.993364
642,-5.011,3.477,0.993626
643,-5.03,3.473,0.993364
644,-5.05,3.468,0.993539
645,-5.069,3.463,0.993452
646,-5.088,3.459,0.993452
647,-5.108,3.454,0.993452
648,-5.127,3.449,0.993452
649,-5.147,3.445,0.993364
650,-5.166,3.44,0.993364
651,-5.185,3.435,0.993452
652,-5.205,3.431,0.993452
653,-5.224,3.426,0.993452
654,-5.243,3.421,0.993364
655,-5.263,3.417,0.993452
656,-5.282,3.412,0.993452
657,-5.301,3.407,0.993452
658,-5.321,3.403,0.993626
659,-5.34,3.398,0.993452
660,-5.36,3.393,0.993539
661,-5.379,3.389,0.993452
662,-5.399,3.384,0.993452
663,-5.418,3.38,0.993364
664,-5.437,3.375,0.993452
665,-5.457,3.37,0.993276
666,-5.476,3.365,0.993276
667,-5.495,3.361,0.993539
668,-5.515,3.356,0.993364
669,-5.534,3.351,0.993539
670,-5.553,3.347,0.993364
671,-5.573,3.342,0.993364
672,-5.592,3.337,0.993364
673,-5.612,3.333,0.993364
674,-5.631,3.328,0.993539
675,-5.65,3.323,0.993364
676,-5.67,3.319,0.993452
677,-5.689,3.314,0.993364
678,-5.708,3.309,0.993452
679,-5.728,3.305,0.993452
680,-5.747,3.3,0.993452
681,-5.766,3.295,0.993452
682,-5.786,3.291,0.993364
683,-5.805,3.286,0.993452
684,-5.825,3.281,0.993364
685,-5.844,3.277,0.993452
686,-5.863,3.272,0.993364
687,-5.883,3.267,0.993452
688,-5.902,3.263,0.993452
689,-5.922,3.258,0.993452
690,-5.941,3.253,0.993539
691,-5.96,3.249,0.993364
692,-5.98,3.244,0.993539
693,-5.999,3.239,0.993364
694,-6.018,3.235,0.993452
695,-6.035,3.23,0.992917
696,-6.049,3.227,0.992076
697,-6.06,3.224,0.990673
698,-6.068,3.222,0.989381
699,-6.073,3.22,0.987886
700,-6.075,3.219,0.986546
701,-6.075,3.219,0.985397
702,-6.075,3.219,0.983792
703,-6.075,3.219,0.982104
704,-6.075,3.219,0.980334
705,-6.075,3.219,0.978323
706,-6.075,3.219,0.976381
707,-6.075,3.219,0.974356
708,-6.075,3.219,0.97207
709,-6.075,3.219,0.969875
710,-6.075,3.219,0.967405
711,-6.075,3.219,0.965039
712,-6.075,3.219,0.962385
713,-6.075,3.219,0.95985
714,-6.077,3.218,0.958553
715,-6.081,3.215,0.957896
716,-6.088,3.211,0.957896
717,-6.098,3.204,0.958115
718,-6.11,3.196,0.957896
719,-6.125,3.186,0.958115
720,-6.142,3.175,0.957896
721,-6.159,3.163,0.957896
722,-6.175,3.152,0.958115
723,-6.191,3.141,0.958115
724,-6.208,3.13,0.958115
725,-6.224,3.119,0.958115
726,-6.241,3.108,0.958115
727,-6.258,3.097,0.958115
728,-6.274,3.086,0.958115
729,-6.291,3.075,0.957896
730,-6.307,3.064,0.957676
731,-6.324,3.053,0.957896
732,-6.34,3.042,0.958115
733,-6.357,3.03,0.957676
734,-6.373,3.02,0.957896
735,-6.388,3.01,0.956791
736,-6.399,3.002,0.954538
737,-6.408,2.995,0.951291
738,-6.415,2.99,0.948421
739,-6.419,2.987,0.945471
740,-6.421,2.985,0.942697
741,-6.421,2.985,0.940117
742,-6.421,2.985,0.937482
743,-6.421,2.985,0.933701
744,-6.421,2.985,0.930655
745,-6.421,2.985,0.92697
746,-6.421,2.985,0.923487
747,-6.421,2.985,0.919626
748,-6.421,2.985,0.915982
749,-6.421,2.985,0.911946
750,-6.421,2.985,0.908141
751,-6.421,2.985,0.90426
752,-6.423,2.983,0.90229
753,-6.426,2.98,0.901298
754,-6.431,2.973,0.90163
755,-6.439,2.963,0.901298
756,-6.448,2.951,0.900967
757,-6.459,2.937,0.901298
758,-6.471,2.921,0.900967
759,-6.484,2.905,0.901298
760,-6.496,2.89,0.900967
761,-6.508,2.874,0.901298
762,-6.52,2.858,0.901298
763,-6.532,2.843,0.901298
764,-6.545,2.827,0.900967
765,-6.556,2.813,0.899635
766,-6.564,2.802,0.896268
767,-6.571,2.793,0.891813
768,-6.575,2.787,0.88727
769,-6.578,2.782,0.882639
770,-6.58,2.78,0.878653
771,-6.58,2.78,0.875714
772,-6.58,2.78,0.870869
773,-6.58,2.78,0.86632
774,-6.58,2.78,-0.861699
775,-6.58,2.78,-0.85661
776,-6.58,2.78,-0.851837
777,-6.58,2.78,-0.846993
778,-6.58,2.78,-0.842077
779,-6.58,2.78,-0.836672
780,-6.58,2.78,-0.831183
781,-6.58,2.78,-0.825613
782,-6.58,2.78,-0.820836
783,-6.58,2.778,-0.818205
784,-6.582,2.773,-0.816884
785,-6.585,2.765,-0.816884
786,-6.589,2.753,-0.816884
787,-6.593,2.74,-0.816442
788,-6.599,2.723,-0.816442
789,-6.606,2.704,-0.816442
790,-6.612,2.685,-0.817325
791,-6.618,2.666,-0.816442
792,-6.625,2.647,-0.816442
793,-6.631,2.628,-0.816
794,-6.637,2.609,-0.816442
795,-6.644,2.59,-0.816442
796,-6.65,2.572,-0.816442
797,-6.657,2.553,-0.816884
798,-6.663,2.534,-0.816442
799,-6.669,2.515,-0.816442
800,-6.675,2.499,-0.813783
801,-6.679,2.485,-0.810211
802,-6.682,2.475,-0.804342
803,-6.685,2.467,-0.798394
804,-6.686,2.462,-0.792366
805,-6.686,2.46,-0.787676
806,-6.687,2.46,-0.783416
807,-6.686,2.46,-0.777677
808,-6.686,2.46,-0.771873
809,-6.686,2.46,-0.765513
810,-6.686,2.46,-0.759574
811,-6.686,2.46,-0.753571
812,-6.686,2.46,-0.746996
813,-6.687,2.458,-0.743937
814,-6.687,2.452,-0.743426
815,-6.688,2.444,-0.741889
816,-6.689,2.432,-0.742914
817,-6.69,2.418,-0.741889
818,-6.692,2.4,-0.742401
819,-6.693,2.38,-0.741889
820,-6.695,2.36,-0.741889
821,-6.697,2.34,-0.741889
822,-6.699,2.32,-0.742401
823,-6.7,2.3,-0.741889
824,-6.702,2.28,-0.741889
825,-6.704,2.261,-0.741889
826,-6.706,2.241,-0.741889
827,-6.707,2.221,-0.741889
828,-6.709,2.201,-0.741889
829,-6.711,2.181,-0.742401
830,-6.713,2.161,-0.742401
831,-6.714,2.141,-0.742401
832,-6.716,2.122,-0.741889
833,-6.718,2.102,-0.742401
834,-6.72,2.082,-0.742401
835,-6.721,2.062,-0.741889
836,-6.723,2.042,-0.741889
837,-6.725,2.022,-0.741889
838,-6.727,2.002,-0.742401
839,-6.728,1.982,-0.741889
840,-6.73,1.963,-0.742401
841,-6.732,1.943,-0.741889
842,-6.734,1.923,-0.742401
843,-6.735,1.906,-0.739318
844,-6.736,1.892,-0.734665
845,-6.737,1.881,-0.727882
846,-6.737,1.873,-0.721027
847,-6.737,1.868,-0.714635
848,-6.737,1.866,-0.708724
849,-6.737,1.865,-0.70385
850,-6.737,1.865,-0.697299
851,-6.737,1.865,-0.690136
852,-6.737,1.865,-0.684022
853,-6.737,1.865,-0.676734
854,-6.737,1.865,-0.669947
855,-6.737,1.865,-0.662531
856,-6.737,1.865,-0.655627
857,-6.737,1.863,-0.652154
858,-6.736,1.858,-0.650413
859,-6.735,1.85,-0.650413
860,-6.733,1.838,-0.649831
861,-6.73,1.824,-0.649831
862,-6.727,1.806,-0.649831
863,-6.724,1.786,-0.649831
864,-6.72,1.766,-0.649831
865,-6.717,1.747,-0.64925
866,-6.714,1.727,-0.649831
867,-6.711,1.708,-0.649831
868,-6.707,1.688,-0.649831
869,-6.704,1.668,-0.649831
870,-6.701,1.648,-0.650413
871,-6.697,1.629,-0.649831
872,-6.694,1.609,-0.649831
873,-6.691,1.59,-0.650413
874,-6.687,1.57,-0.649831
875,-6.684,1.55,-0.650994
876,-6.681,1.531,-0.649831
877,-6.678,1.511,-0.649831
878,-6.674,1.491,-0.649831
879,-6.671,1.472,-0.649831
880,-6.668,1.452,-0.64925
881,-6.664,1.432,-0.64925
882,-6.661,1.413,-0.649831
883,-6.658,1.393,-0.649831
884,-6.654,1.373,-0.649831
